Features,Factor A,Factor B,Factor C,Factor D,Factor E,Communalities
mfccs 4 std,-0.09369878533768092,-0.19962769459667198,0.055694599099679366,0.35193093218287846,-0.16466758271476814,0.20270336101684777
mfccs 5 mean,-0.15008364957103398,0.3134885563670193,-0.11654480237527076,-0.04059640250831308,-0.09761956377420383,0.1455605149304125
mfccs 5 std,-0.07844702231357399,-0.4816953471382219,0.19449083270564557,0.04669454969585877,0.24621086660321537,0.3388111985758192
mfccs 6 mean,-0.01808277448986074,-0.17313991212064034,-0.05898865537633153,-0.10375964194632904,-0.08021555337336923,0.05098467566532808
mfccs 6 std,-0.28146934026993514,0.45263746893486445,0.254539054928014,0.1514105045643494,-0.03548376043386301,0.37308003642635806
mfccs 7 mean,-0.300567691444037,0.24332526481172934,0.4228473725743083,-0.11864391523964463,0.09659187491413926,0.3517543910515127
mfccs 7 std,-0.042841298464500605,0.48160751221307463,0.12446169989149172,0.15205070982595736,0.027562224306298712,0.2731509819813592
mfccs 8 mean,0.0242846936313912,0.17667636615811916,0.3608271726564874,-0.1905390120132013,0.18799548235639196,0.23364794971626224
mfccs 8 std,-0.030682863457191217,0.685076922410493,-0.09188053297397579,-0.2495443023292278,-0.0017558248132041948,0.5409893018147028
mfccs 9 mean,0.357370250013967,0.36364354623072226,0.041121380210387894,0.18394508956061245,-0.06459374367849535,0.29964923991657294
mfccs 9 std,-0.003093887043890897,0.48499221922489777,0.13153567344284647,-0.010284663260441754,0.09979613948546046,0.2625937019883769
mfccs 10 mean,-0.0940099524092225,0.2943478500032351,0.24437533655177196,-0.18545556316972142,0.2848431143330289,0.2707271987618406
mfccs 10 std,0.3581149858849732,0.13077127203057295,0.07447400787696659,0.22943893263795762,0.018542754726424505,0.20387990411603676
mfccs 11 mean,-0.01633710584009976,0.5910624673612735,0.0938228719345618,-0.10176987972001914,0.10939711470704334,0.3807493097729296
mfccs 11 std,0.17780131432634733,0.43506442200159223,0.02559590877739909,-0.01774751423903695,0.250406939578529,0.28456811886464695
mfccs 12 mean,0.022650349942306292,0.6866793976123007,-0.06578029751277788,-0.13245835134641598,0.09499603487251901,0.502938142481482
mfccs 12 std,0.3126311341761172,0.4884713052562314,-0.05624238441291128,0.005881751556090264,0.09430712559348711,0.34843407685849476
cent mean,0.2882189055401656,-0.17442876291233564,-0.15290194292356488,0.9062852848404843,-0.0850303974136672,0.9654577209944238
cent std,0.5957209320005903,-0.31839383158838697,0.043136476691467286,0.5315463800659979,-0.036349045233941786,0.7419816236892249
cent skew,0.3811598368159206,-0.19682728423535958,0.03364459068876311,-0.1780801068361616,0.02913686128527262,0.2177172406399566
rolloff mean,0.33941697790704595,-0.23105560888239698,-0.11961328308878262,0.8744495434081206,-0.07141044799818749,0.9526593728288172
rolloff std,0.5312243374497456,-0.2669078285490074,0.22361901659219638,0.20939779452319318,-0.00907170485312946,0.4473742824014483
rolloff skew,0.13986161459021987,0.010841162838315231,-0.13633419358973298,-0.3384161292572505,-0.11271666034776265,0.16549633645064582
