,Feature,Pearson,Chi-2,RFE,Logistics,Random Forest,LightGBM,Count
303,lowlevel_spectral_centroid_mean,False,False,False,False,False,False,0
304,lowlevel_spectral_centroid_kurt,False,False,False,False,False,False,0
305,lowlevel_spectral_centroid_dvar2,False,False,False,False,False,False,0
306,lowlevel_spectral_centroid_dvar,False,False,False,False,False,False,0
307,lowlevel_spectral_centroid_dmean2,False,False,False,False,False,False,0
308,lowlevel_spectral_centroid_dmean,False,False,False,False,False,False,0
309,lowlevel_silence_rate_60dB_var,False,False,False,False,False,False,0
310,lowlevel_silence_rate_60dB_stdev,False,False,False,False,False,False,0
311,lowlevel_silence_rate_60dB_skew,False,False,False,False,False,False,0
312,lowlevel_silence_rate_60dB_median,False,False,False,False,False,False,0
313,lowlevel_silence_rate_60dB_mean,False,False,False,False,False,False,0
314,lowlevel_silence_rate_60dB_kurt,False,False,False,False,False,False,0
315,lowlevel_silence_rate_60dB_dvar2,False,False,False,False,False,False,0
316,lowlevel_silence_rate_60dB_dvar,False,False,False,False,False,False,0
317,lowlevel_silence_rate_60dB_dmean2,False,False,False,False,False,False,0
318,lowlevel_silence_rate_60dB_dmean,False,False,False,False,False,False,0
319,lowlevel_silence_rate_30dB_var,False,False,False,False,False,False,0
320,lowlevel_silence_rate_30dB_stdev,False,False,False,False,False,False,0
321,lowlevel_silence_rate_30dB_skew,False,False,False,False,False,False,0
322,lowlevel_silence_rate_30dB_median,False,False,False,False,False,False,0
323,lowlevel_silence_rate_30dB_mean,False,False,False,False,False,False,0
324,lowlevel_silence_rate_30dB_kurt,False,False,False,False,False,False,0
325,lowlevel_silence_rate_30dB_dvar2,False,False,False,False,False,False,0
326,lowlevel_silence_rate_30dB_dvar,False,False,False,False,False,False,0
327,lowlevel_silence_rate_30dB_dmean2,False,False,False,False,False,False,0
328,lowlevel_silence_rate_30dB_dmean,False,False,False,False,False,False,0
329,lowlevel_silence_rate_20dB_var,False,False,False,False,False,False,0
