ebm,chroma 0 mean,chroma 0 std,chroma 1 mean,chroma 1 std,chroma 2 mean,chroma 2 std,chroma 3 mean,chroma 3 std,chroma 4 mean,chroma 4 std,chroma 5 mean,chroma 5 std,chroma 6 mean,chroma 6 std,chroma 7 mean,chroma 7 std,chroma 8 mean,chroma 8 std,chroma 9 mean,chroma 9 std,chroma 10 mean,chroma 10 std,chroma 11 mean,chroma 11 std,mfccs 0 mean,mfccs 0 std,mfccs 1 mean,mfccs 1 std,mfccs 2 mean,mfccs 2 std,mfccs 3 mean,mfccs 3 std,mfccs 4 mean,mfccs 4 std,mfccs 5 mean,mfccs 5 std,mfccs 6 mean,mfccs 6 std,mfccs 7 mean,mfccs 7 std,mfccs 8 mean,mfccs 8 std,mfccs 9 mean,mfccs 9 std,mfccs 10 mean,mfccs 10 std,mfccs 11 mean,mfccs 11 std,mfccs 12 mean,mfccs 12 std,cent mean,cent std,cent skew,rolloff mean,rolloff std,rolloff skew,contrast 0 mean,contrast 0 std,contrast 1 mean,contrast 1 std,contrast 2 mean,contrast 2 std,contrast 3 mean,contrast 3 std,contrast 4 mean,contrast 4 std,contrast 5 mean,contrast 5 std,contrast 6 mean,contrast 6 std,zrate mean,zrate std,zrate skew,tempo
0.069528706,0.355688105,0.367622143,0.362282129,0.28049068,0.193337801,0.16838395,0.153617155,0.170997538,0.21895117,0.253937497,0.236066203,0.257204571,0.096847047,0.109417808,0.157577841,0.134037227,0.130584925,0.171140334,0.121232932,0.116604023,0.103627148,0.097203424,0.075222677,0.104455479,-290.17776,68.37155,26.3615,42.722553,-22.209362,25.701038,-16.794697,-5.1071224,-23.78051,-8.148829,5.3023224,-5.126572,14.3398905,48.854443,17.161219,15.550053,14.544386,10.797415,10.271345,9.619472,7.2996755,12.067123,9.477469,6.2424808,7.708811,6.7810626,3182.034279,974.0046981,1.102507299,6093.049113,617.7099978,-0.305048279,18.10944038,19.76661262,24.57580714,17.36799231,18.08089468,18.55258835,38.28068031,3.712873557,5.978532185,7.4014164,4.647257998,4.658750018,2.607606068,3.161785833,0.119622125,0.064154475,1.247585323,103.359375
0.080346069,0.304528418,0.278874805,0.237782922,0.196979057,0.162221749,0.184164604,0.195287229,0.305399979,0.378902089,0.314670972,0.319684767,0.276803955,0.110790908,0.129916769,0.078361046,0.062169354,0.101443142,0.110255415,0.108296755,0.088337894,0.091638609,0.097993568,0.108279961,0.101220268,-296.4136,57.335495,29.898617,33.14568,-4.995945,23.654213,-11.396161,-0.32565436,-18.904495,1.0714346,3.5247374,-3.9697022,13.40071,74.233795,29.401825,14.239592,11.953217,7.8368373,7.4325194,11.920262,10.219658,13.87761,6.0645194,5.8304276,6.3923693,9.149678,3466.135693,1186.490072,1.008419018,6582.530721,691.4769804,0.583134052,19.5957643,18.9152979,21.60116511,16.26660231,16.206633,18.30553514,38.1831107,4.303141387,7.584962208,8.265248319,4.103843747,3.170098195,3.200287675,4.654801193,0.123322663,0.09013213,1.757803757,143.5546875
0.061373472,0.245235463,0.266057392,0.286056737,0.3834477,0.317281663,0.142237074,0.134286715,0.20120093,0.307130279,0.298444531,0.315343166,0.231381435,0.111618879,0.108727648,0.120290991,0.125824495,0.096264948,0.092492045,0.088418919,0.105850906,0.144789939,0.088778491,0.034244162,0.054563593,-275.05533,68.48691,16.819218,34.54984,-3.275781,22.149866,-9.33936,-1.5007129,-26.361794,-3.5699086,-1.9765142,-1.096031,10.61937,51.473083,14.248619,14.429874,7.7642326,7.92077,8.665508,9.094475,9.843408,14.727652,9.996897,4.155306,5.2553315,7.9933796,3264.136159,1249.796971,1.533073793,6358.376058,1072.410199,-0.154972033,19.75937312,18.30651314,22.07495712,16.12703834,15.52157354,17.22744792,37.31796131,4.358742632,6.168235749,7.152543088,3.41253441,2.190889712,2.648053856,3.409881829,0.113439489,0.066474774,1.570695091,184.5703125
0.102317076,0.430297638,0.451976798,0.372065491,0.232330085,0.12387732,0.095584815,0.137614281,0.159885988,0.221503953,0.249279653,0.23025419,0.217628691,0.117380297,0.091586363,0.132732602,0.113927545,0.070787171,0.071619998,0.084757655,0.110092595,0.099593758,0.114640948,0.128308941,0.125901971,-281.12885,48.91302,34.54909,30.952969,-15.4611225,23.052662,-3.196372,-2.029142,-32.845566,4.078406,2.3019218,1.0773333,18.77182,46.59485,23.014444,13.631908,9.002241,10.986108,10.745642,9.753158,8.680783,14.29596,6.695976,5.4213243,5.8194513,9.806091,3636.744933,1280.237723,0.720484989,6673.598226,1005.062413,-0.173901708,20.55536384,20.38533773,25.56310815,19.52788758,19.07697482,20.01431114,40.58302651,3.609919372,6.682826229,7.916077936,6.551320901,4.45101985,3.619078678,3.96795865,0.121398926,0.069451612,1.25917304,135.9991776
0.024268351,0.434850113,0.380120793,0.290049993,0.275284335,0.221003002,0.136047549,0.169481519,0.176382741,0.222872882,0.290338857,0.31846672,0.302790804,0.078490037,0.032523002,0.053093174,0.055022253,0.050014342,0.079618378,0.058565846,0.081769671,0.103829751,0.062332662,0.057015614,0.04802501,-304.46237,78.39011,26.629747,35.186825,-14.941207,28.802849,-9.045284,-12.7489195,-15.311632,-5.3497806,-3.7029035,2.192124,11.673924,25.821135,22.680443,11.767241,12.951553,12.957588,10.518953,12.1089735,11.60337,9.9939995,9.843484,7.6946754,5.6434937,5.0541086,3059.531647,1213.380657,0.87612224,5725.04069,1142.288534,-0.596166932,16.60416175,16.90060291,21.86622138,15.96798204,17.14068382,17.66804228,36.17530193,2.989152927,4.463063855,5.725149041,2.676689856,2.877062259,2.561503247,2.627007635,0.115198206,0.07606363,2.052026826,198.7680288
0.04437789,0.274011223,0.284768069,0.258277893,0.200015521,0.189175718,0.177527261,0.170762111,0.210935111,0.318851458,0.338728833,0.368674302,0.326139247,0.123167649,0.10029786,0.084414822,0.088190334,0.112916021,0.099465112,0.119777224,0.124256984,0.108001075,0.0869263,0.095972815,0.128332979,-261.64948,37.9418,31.749647,33.654987,-14.079187,31.52943,-11.711648,-9.55756,-28.563953,-3.8604336,5.433499,-0.9706132,15.849945,59.11455,29.332808,18.091078,10.122859,10.23338,6.527318,9.651286,11.614416,13.502103,7.794882,7.288043,5.742829,6.980256,3985.523031,1431.836911,0.606102894,6703.754679,847.6996066,0.157000296,19.72222152,20.19791694,24.56949214,18.72983183,17.6385041,18.73620572,39.57424561,4.962086159,6.857886135,8.093401262,5.729042676,3.018261658,2.574726921,4.167078307,0.185239439,0.114460168,1.17676637,234.9076705
0.052253859,0.292601337,0.30231237,0.305707427,0.371749891,0.314670826,0.270129062,0.270831853,0.239484031,0.23650958,0.194766128,0.218933152,0.201579507,0.08789925,0.073952969,0.085783072,0.082769926,0.098976718,0.122683813,0.101625285,0.111917252,0.110913084,0.092075201,0.065339496,0.077817063,-254.19823,43.91479,26.894226,44.805305,-9.935673,22.678495,-6.0815525,-4.9242687,-32.576874,2.229073,-1.8961676,-4.5040426,16.40845,39.29441,17.308224,18.690899,13.306846,11.928723,11.320725,8.307057,9.737231,14.130717,6.4309554,8.563769,5.034764,7.253934,3913.749698,1426.584478,0.616046645,6500.784302,1149.773582,-0.086903549,19.6455395,18.51072861,22.67064837,17.07618383,17.36419277,20.1928289,39.65486675,4.346875024,5.675607874,6.729942639,4.13104184,3.037964473,2.784114501,3.272404463,0.189086914,0.10275137,0.870371236,95.703125
0.060928328,0.148254465,0.078829147,0.067675471,0.114135219,0.117033456,0.069962948,0.13584903,0.503659387,0.597724811,0.353053735,0.296112881,0.230065944,0.068620465,0.057399727,0.043718942,0.069658339,0.071462893,0.065501892,0.056485224,0.036126317,0.039072896,0.044326119,0.060587773,0.071572884,-258.51578,59.601906,47.657036,46.446274,1.0308703,33.144455,-3.6015506,9.077861,-20.500355,5.631702,7.527955,6.309829,20.521965,40.326797,19.864676,11.536012,13.813176,11.368035,8.29269,10.2391405,9.804725,9.8480215,9.20515,5.254648,7.59359,8.155004,3372.806355,1420.262546,1.000440104,6444.209798,1138.486617,0.365342496,19.23776629,20.86146215,23.8489728,16.42724507,16.85441583,19.24746847,38.96769644,3.647294481,6.770101389,6.239609289,3.914515543,3.659446609,2.898160591,3.451362069,0.090239348,0.046009134,0.838275366,161.4990234
0.078093831,0.252405625,0.295476183,0.285517938,0.217307059,0.183966239,0.237748425,0.28431265,0.275246415,0.32159462,0.326500317,0.283266831,0.253288211,0.054552837,0.078727427,0.125732861,0.112087849,0.071046,0.067739405,0.116188195,0.088918521,0.122768961,0.149481496,0.088832335,0.070446442,-682.65027,66.95595,-24.712185,1.5137491,20.07633,17.502419,12.390385,-3.679303,-24.689938,-13.49255,1.5541425,-18.085443,-3.4744477,134.66092,44.30757,48.201206,21.994795,13.571668,12.1651325,20.390976,15.64907,28.417236,16.577177,13.057236,20.763395,11.441773,2068.459117,487.6634204,0.267379941,3721.406047,1227.913123,0.160301716,35.01056296,13.56474463,19.17679113,19.63128775,20.77926441,20.285168,35.42191658,5.727554317,4.750137554,5.360317295,8.279822179,5.183454311,7.030330215,4.366012147,0.101128472,0.03385484,0.963448308,234.9076705
0.032817825,0.381685316,0.356042597,0.277182195,0.317174916,0.243115294,0.21961579,0.178626877,0.147716685,0.23330669,0.31889407,0.326784104,0.255355853,0.04154816,0.073250388,0.078091379,0.03772025,0.072256152,0.089319767,0.086117956,0.075847305,0.081743319,0.04582385,0.068164236,0.080790298,-275.7874,73.16303,3.7837255,34.628094,-14.936375,20.04077,-11.06875,-3.7367887,-19.780325,-5.162366,-3.8109221,0.6995035,6.0986567,16.259064,21.842476,8.667169,9.206671,5.9691434,9.295077,8.98436,13.877745,7.3179417,7.5256886,7.0038133,7.7011843,6.9547343,3108.343781,1094.859908,0.829640095,5773.24117,1056.22267,-0.635157427,17.99730578,18.20640018,21.91349673,16.77612027,18.16589976,17.64793645,37.11619736,3.446737169,4.498201051,5.971885924,2.505209192,3.441980331,2.197907057,2.738238353,0.128090187,0.070959728,1.19993028,123.046875
