,Feature,K,p
88,band_chroma 5 std,281.5446890648143,4.543056635857181e-56
89,band_chroma 6 mean,32.189314162392265,1.814900342375054e-08
90,band_chroma 6 std,0.7170968473440739,0.39729379546030197
91,band_chroma 7 mean,2.7517758681904025,0.09744974422038469
92,band_chroma 7 std,32.582401946821,1.4916722973412395e-08
93,band_chroma 8 mean,22.048529761293707,3.0162166076651862e-06
94,band_chroma 8 std,10.941090638282345,0.0009729471928408202
95,band_chroma 9 mean,2.2294353946121768,0.1357083771608616
96,band_chroma 9 std,0.18790609494188054,0.6647555167451428
97,band_chroma 10 mean,2.2309886064541016,0.13557234800861367
98,band_chroma 10 std,10.444364891101593,0.0012690916754467833
99,band_chroma 11 mean,6.847247219789175,0.009007305509630425
100,band_chroma 11 std,18.39425290243729,1.9641376795381646e-05
101,band_mfccs 0 mean,368.8078617224859,1.5579735006043506e-70
102,band_mfccs 0 std,33.227576745609994,1.0814238127774531e-08
103,band_mfccs 1 mean,658.3638293340368,9.436055588288554e-113
104,band_mfccs 1 std,295.26281723216323,2.0899006394552857e-58
105,band_mfccs 2 mean,7.788857975963058,0.0053536771435499534
106,band_mfccs 2 std,109.56805767788575,1.930412403584272e-24
107,band_mfccs 3 mean,0.6353512819484567,0.4255821845932891
108,band_mfccs 3 std,122.7739367451158,4.850996244374142e-27
109,band_mfccs 4 mean,36.60404523535366,2.020620930808159e-09
110,band_mfccs 4 std,4.592793826996906,0.032339490384669545
111,band_mfccs 5 mean,9.764324260962988,0.0018288803441910764
112,band_mfccs 5 std,114.16803442256075,2.378964900204924e-25
113,band_mfccs 6 mean,318.0152080372685,3.1414669089871923e-62
114,band_mfccs 6 std,48.0612249053596,7.2632323491551094e-12
115,band_mfccs 7 mean,1.0822545858837365,0.29843692456838644
116,band_mfccs 7 std,18.52407538449172,1.836994966538269e-05
117,band_mfccs 8 mean,46.26727561794476,1.742890509415709e-11
118,band_mfccs 8 std,189.74164849580103,9.302626018462608e-40
119,band_mfccs 9 mean,89.18220537473111,2.3135929280133828e-20
120,band_mfccs 9 std,2.8535179969594333,0.09147570374265356
121,band_mfccs 10 mean,7.919624630703942,0.004982889981341062
122,band_mfccs 10 std,1.2856032061445348,0.2571226144324764
123,band_mfccs 11 mean,1.2692086079362035,0.2601765837509711
124,band_mfccs 11 std,1.1311828506973869,0.2877714911319397
125,band_mfccs 12 mean,10.113196697811174,0.0015158915652381405
126,band_mfccs 12 std,5.54402606627147,0.018730062423657167
127,band_cent mean,161.08943736346308,2.080648281548459e-34
128,band_cent std,19.055349509176967,1.3973240267231466e-05
129,band_cent skew,4.6628765832118315,0.031050905943166878
130,band_flat mean,35.757078217198405,3.0750139209272358e-09
131,band_flat std,4.599989236154051,0.03220465391309196
132,band_flat skew,34.585101416495164,5.503045981255478e-09
133,band_rolloff mean,213.9359237708084,3.5582160986288503e-44
134,band_rolloff std,17.537646468645285,3.0567789234769085e-05
135,band_rolloff skew,0.027769214181854313,0.8676851320999895
136,band_contrast 0 mean,28.071331107331513,1.4286246917828702e-07
137,band_contrast 0 std,85.6557801281028,1.1973908107945585e-19
138,band_contrast 1 mean,93.23724841497224,3.5192421573013364e-21
139,band_contrast 1 std,587.0680832431798,4.51092454314077e-103
140,band_contrast 2 mean,17.43240571734099,3.227776171982923e-05
141,band_contrast 2 std,315.1269504371449,9.523691002035865e-62
142,band_contrast 3 mean,113.64200892667654,3.0210998998037034e-25
143,band_contrast 3 std,2.8501190981939635,0.0916687103875331
144,band_contrast 4 mean,226.5610193808231,1.909710789327072e-46
145,band_contrast 4 std,326.556723756798,1.1987963096547657e-63
146,band_contrast 5 mean,201.1511540837748,7.488023253815705e-42
147,band_contrast 5 std,148.25008923034366,5.740338145379855e-32
148,band_contrast 6 mean,46.15996725967682,1.836698319312841e-11
149,band_contrast 6 std,26.46052020220581,3.216728523625735e-07
150,band_zrate mean,57.091992279379156,9.135290755832105e-14
151,band_zrate std,4.61249255189683,0.03197174738373009
152,band_zrate skew,31.39061614767788,2.7046389411408843e-08
153,band_tempo,10.291152667027259,0.0013777590335260748
154,band_lowlevel.average_loudness,132.26214234063798,6.879101039008229e-29
155,band_lowlevel.barkbands_crest.dmean,4.289145384725377,0.038604086058698105
156,band_lowlevel.barkbands_crest.dmean2,5.070722893690734,0.02454243643429186
157,band_lowlevel.barkbands_crest.dvar,14.719856886593014,0.0001322806993681553
158,band_lowlevel.barkbands_crest.dvar2,17.16705536490145,3.702937799851471e-05
159,band_lowlevel.barkbands_crest.kurt,2.5288589080204673,0.1120867021505042
160,band_lowlevel.barkbands_crest.mean,5.196217692986464,0.022839119315416913
161,band_lowlevel.barkbands_crest.median,7.05619476688138,0.008020775502145801
162,band_lowlevel.barkbands_crest.skew,7.2694924348517045,0.007127484081924379
163,band_lowlevel.barkbands_crest.stdev,1.7692824164529204,0.18376421742550061
164,band_lowlevel.barkbands_crest.var,1.7693954365633855,0.18375022782548164
165,band_lowlevel.barkbands_flatness_db.dmean,234.8160848944026,6.44297866169035e-48
166,band_lowlevel.barkbands_flatness_db.dmean2,209.16239680495832,2.6047194648174684e-43
167,band_lowlevel.barkbands_flatness_db.dvar,460.08798806395095,1.0093501185681171e-84
168,band_lowlevel.barkbands_flatness_db.dvar2,325.0334413435114,2.1430717658861748e-63
169,band_lowlevel.barkbands_flatness_db.kurt,92.34393005251843,5.325153825468522e-21
170,band_lowlevel.barkbands_flatness_db.mean,356.7360373110733,1.375375371901321e-68
171,band_lowlevel.barkbands_flatness_db.median,296.9687920663681,1.0744451039192227e-58
172,band_lowlevel.barkbands_flatness_db.skew,25.35943693714907,5.61134824648522e-07
173,band_lowlevel.barkbands_flatness_db.stdev,183.99395696690794,1.0746209395313975e-38
174,band_lowlevel.barkbands_flatness_db.var,183.99169968823676,1.075656606811927e-38
175,band_lowlevel.barkbands_kurtosis.dmean,77.61203392624613,5.205522798990302e-18
176,band_lowlevel.barkbands_kurtosis.dmean2,72.66703623345128,5.376310216193914e-17
177,band_lowlevel.barkbands_kurtosis.dvar,44.869650523206644,3.451958510276458e-11
178,band_lowlevel.barkbands_kurtosis.dvar2,43.57746610898906,6.500963427155281e-11
179,band_lowlevel.barkbands_kurtosis.kurt,2.5792635543879507,0.1085773535318965
180,band_lowlevel.barkbands_kurtosis.mean,175.28728936480957,4.47609046851213e-37
181,band_lowlevel.barkbands_kurtosis.median,602.155258548725,3.7218724987198165e-105
182,band_lowlevel.barkbands_kurtosis.skew,1.8828240673287193,0.1703111175569294
