chroma 0 mean,chroma 0 std,chroma 1 mean,chroma 1 std,chroma 2 mean,chroma 2 std,chroma 3 mean,chroma 3 std,chroma 4 mean,chroma 4 std,chroma 5 mean,chroma 5 std,chroma 6 mean,chroma 6 std,chroma 7 mean,chroma 7 std,chroma 8 mean,chroma 8 std,chroma 9 mean,chroma 9 std,chroma 10 mean,chroma 10 std,chroma 11 mean,chroma 11 std,mfccs 0 mean,mfccs 0 std,mfccs 1 mean,mfccs 1 std,mfccs 2 mean,mfccs 2 std,mfccs 3 mean,mfccs 3 std,mfccs 4 mean,mfccs 4 std,mfccs 5 mean,mfccs 5 std,mfccs 6 mean,mfccs 6 std,mfccs 7 mean,mfccs 7 std,mfccs 8 mean,mfccs 8 std,mfccs 9 mean,mfccs 9 std,mfccs 10 mean,mfccs 10 std,mfccs 11 mean,mfccs 11 std,mfccs 12 mean,mfccs 12 std,cent mean,cent std,cent skew,rolloff mean,rolloff std,rolloff skew,contrast 0 mean,contrast 0 std,contrast 1 mean,contrast 1 std,contrast 2 mean,contrast 2 std,contrast 3 mean,contrast 3 std,contrast 4 mean,contrast 4 std,contrast 5 mean,contrast 5 std,contrast 6 mean,contrast 6 std,zrate mean,zrate std,zrate skew,tempo
0.142257737,0.173514568,0.197630567,0.198160136,0.211560436,0.295729521,0.388431232,0.409288643,0.347399094,0.26412458,0.218627957,0.169946632,0.106875184,0.105827995,0.085183725,0.090791906,0.079866438,0.071924943,0.109638111,0.124906457,0.123490474,0.13278031,0.145988011,0.148674494,-431.82056,80.44987,37.7465,17.97146,-25.043192,1.511491,-4.324162,-11.820678,-25.665037,-9.697941,-12.360549,-10.0374565,-8.935468,64.51545,25.951756,19.669323,11.151886,15.266371,13.418448,10.485847,6.4668393,10.576594,7.219656,6.899935,5.940947,6.851407,2792.642348,1655.716686,1.221865799,5346.265666,2303.532935,0.245057461,30.51036926,21.70706999,23.16634591,18.79279028,17.53252862,17.5512409,33.29900174,7.517792049,8.220809641,8.475130476,5.911745826,3.662995699,2.816665939,2.480959478,0.078418873,0.06214619,1.48384656,123.046875
0.334225467,0.305382318,0.235364795,0.205909838,0.230518235,0.24536302,0.223631995,0.194187453,0.200048734,0.251899864,0.296240203,0.341385087,0.143660082,0.099928752,0.082729418,0.1095107,0.119317995,0.155709716,0.152212432,0.103422,0.047916954,0.114767502,0.170390503,0.148642035,-422.87405,70.63481,28.962448,21.991014,-22.590761,0.98423624,-2.4473307,-8.577766,-20.79676,-7.5096984,-9.600076,-6.524262,-7.2152653,73.097755,30.158909,21.223564,17.739794,12.127385,14.610591,11.880912,6.67274,8.765091,5.9494777,8.2179985,7.750607,6.0277185,2884.432055,1548.422876,1.20042469,5539.865112,2170.244551,0.16586907,27.9551878,20.44803644,19.98583177,17.70413742,18.4105209,18.16982283,33.74875651,8.182946524,8.593443946,7.720498002,4.835491525,5.778797964,3.868994648,2.694050307,0.08013916,0.056286555,2.750488735,184.5703125
0.306429496,0.355012948,0.340784506,0.27529823,0.196968233,0.161187589,0.157351968,0.147908993,0.141974631,0.162768483,0.2304663,0.280934369,0.160109935,0.164266359,0.164816669,0.19722318,0.172142081,0.10823322,0.143077087,0.133479769,0.118046958,0.145446662,0.193491983,0.164910261,-433.18484,88.94129,27.406662,25.001278,-20.772522,3.90625,-0.57864773,-7.4212503,-26.350142,-7.9515376,-10.20495,-4.9896455,-4.4361672,49.132435,32.73299,19.757227,16.869347,12.643258,12.481209,8.850854,6.498949,11.263861,8.296967,7.036257,6.2232985,6.4115434,2738.857117,1728.748928,1.383729035,5045.598348,2307.352291,0.340561012,30.68622417,21.62763797,20.55586899,18.46709801,17.62679273,18.36889872,32.84342723,6.643539047,6.530291684,6.505702509,5.815764453,3.432337206,3.286645423,2.950770488,0.07925076,0.084013152,2.767515041,112.3471467
0.171436534,0.195907665,0.185141971,0.226985855,0.329076891,0.42778484,0.420700861,0.349166169,0.248854598,0.140006686,0.080092551,0.113678409,0.097583778,0.097000841,0.104144065,0.115567164,0.116528304,0.130945415,0.113609275,0.148328713,0.150702569,0.080375281,0.085823971,0.100294848,-461.7765,90.50321,19.937737,20.028395,-15.977009,-2.374908,-10.863151,-12.17383,-22.472725,-7.5603976,-9.906938,-9.8951435,-6.6553326,71.549866,20.994469,20.160713,14.008255,13.518518,11.904657,10.521143,8.0254135,8.835547,8.17249,7.012077,7.6673923,6.228658,2538.755736,1592.637638,1.684803278,4869.843547,2171.746351,0.433396707,29.19066312,20.90301151,22.9331148,19.38908114,19.26767345,18.4835757,33.36542163,8.179096498,8.290707169,8.440674839,5.796842504,5.47791262,3.456106933,2.040012873,0.06837972,0.046110281,1.102586457,99.38401442
0.18789154,0.119427102,0.102143088,0.232729114,0.416973991,0.434319472,0.310114813,0.200848763,0.208058176,0.23643235,0.235278467,0.220646877,0.120456479,0.070466118,0.07599827,0.077748941,0.115959636,0.134035909,0.124579589,0.116241312,0.14717443,0.143530965,0.150695721,0.163967635,-373.41388,94.85121,21.379728,33.132183,-33.364998,-1.9621571,-9.385761,-18.428268,-24.650316,-12.186409,-7.3823295,-9.096107,-8.5949545,38.956207,29.192081,18.222698,12.547238,13.011725,13.9019,8.44512,11.754993,8.778035,7.549105,9.9487295,7.8539305,6.8697534,2437.718829,1365.611524,1.649385958,4775.137329,1895.526714,0.52990507,31.49682849,20.87007093,24.67577987,18.92525385,18.22998427,18.48508146,32.71672707,6.439917291,5.574510954,6.026522525,5.052722939,3.275590647,2.805733832,2.99213277,0.070457176,0.061214084,2.314959626,129.1992188
0.177142651,0.17220674,0.211442123,0.273856358,0.314324294,0.356241898,0.336462569,0.309544568,0.279955755,0.242638109,0.24416043,0.222104048,0.089356109,0.106254491,0.122582139,0.100958184,0.113874708,0.110304359,0.093142175,0.082516617,0.096033135,0.10743991,0.13010247,0.124617487,-451.97006,83.45526,25.978567,18.504684,-21.900608,-0.5393749,-5.3355474,-8.488006,-15.843493,-8.479435,-9.188017,-12.515631,-7.811416,91.90246,29.002306,19.567625,11.933327,11.882085,10.657702,12.408415,5.981027,10.747009,6.8682437,6.999667,7.1337905,6.078702,2585.602035,1262.115037,1.438602174,5251.11084,1868.864085,-0.100489986,26.874078,20.08270144,19.31550432,18.55663354,16.66219492,17.12389132,33.41237745,7.771532609,8.660193596,7.012342965,5.419489518,3.679044832,3.047719591,2.487728038,0.070321542,0.046444623,1.573486461,143.5546875
0.248951728,0.277525457,0.303995286,0.293163513,0.291316963,0.306538577,0.302413632,0.287320974,0.256115374,0.21582438,0.181765238,0.195526098,0.099205411,0.132658343,0.096690473,0.120880501,0.120486482,0.105989256,0.130219815,0.134238696,0.105699966,0.086062129,0.099248218,0.076178332,-419.28882,88.349014,15.279905,16.758474,-23.314577,-2.0415552,-7.8223166,-4.315845,-29.814898,-6.801887,-12.200965,-10.614239,0.48063928,55.58559,23.04875,18.93681,15.734459,12.743631,12.3069515,9.834433,8.3482685,11.088744,7.9640965,6.3749747,5.968373,8.4535,2740.569089,1716.913821,1.084817957,5002.232869,2482.282388,0.103305026,27.79251228,18.63050567,21.49726866,18.51600708,17.32081827,18.57872299,34.29057421,8.148862432,7.436338971,7.486909309,6.106998744,4.032821439,3.708393808,2.712623196,0.086925365,0.055328337,1.000833255,107.6660156
0.235704282,0.269066677,0.276356761,0.310152724,0.374287513,0.384574635,0.31502274,0.19687832,0.143678969,0.123337405,0.124252205,0.179357825,0.110474351,0.156979857,0.174767903,0.138273525,0.124873668,0.147321951,0.134786968,0.104723502,0.099222508,0.077339838,0.088768803,0.115659929,-431.8306,81.13116,33.925915,35.46228,-26.074593,7.257616,-9.532208,-16.992838,-19.501791,-15.5870075,-10.096432,-9.732564,-11.625521,46.026783,22.654419,19.017036,10.447364,11.750179,10.869727,7.2745924,6.6194344,7.085518,9.853517,7.010624,7.966103,8.934409,2739.667637,1533.308014,1.095068273,5346.86381,1989.753803,0.247257937,31.24573044,20.53004218,22.64936183,17.0923286,17.20172866,17.55899713,32.81980202,8.658057744,7.121469238,7.158973667,4.284343172,3.448292159,2.630338599,2.294732505,0.073637786,0.070448859,1.599477201,78.30255682
0.327371677,0.322337212,0.307305971,0.281353428,0.273468697,0.24731002,0.243663302,0.251858045,0.227174712,0.232035113,0.323465971,0.310128922,0.051382924,0.060614534,0.072549078,0.062560092,0.079196623,0.075952482,0.052967099,0.067344214,0.044138349,0.064747742,0.068732738,0.06768723,-744.8111,105.21504,1.9947617,19.438757,11.6617565,9.9963,-2.2567172,1.4920491,-1.7195467,-12.44821,-11.634717,-10.567531,-8.139527,60.749733,38.07218,32.769184,18.6377,15.4013405,14.700447,12.824186,10.372003,7.568931,7.6620836,7.9590898,5.842429,5.711869,1895.753453,947.0026281,0.270548923,3756.796265,2064.355791,-0.25984737,32.13701213,13.02970042,17.76490092,15.67628903,16.90593018,15.88463296,35.04678477,6.330407646,4.223274434,4.452978173,3.788353188,2.742007358,2.496253527,2.190586998,0.083737974,0.041575066,-0.007833742,151.9990809
0.141821795,0.116201708,0.144764428,0.183210449,0.225929911,0.276367671,0.347156878,0.375640394,0.380695362,0.329337771,0.269408244,0.209588102,0.094887829,0.102784233,0.091050566,0.093859956,0.102623067,0.102089831,0.105137977,0.110743838,0.117434089,0.144969298,0.16065656,0.106564566,-371.6519,63.08196,26.86649,23.006193,-20.432302,3.0453448,-9.363751,-8.94829,-24.762241,-3.7459946,-18.45742,-5.273658,-10.400796,32.98338,23.852621,16.242313,12.809854,8.931085,10.03502,8.609762,6.6683097,7.208261,11.977802,7.918753,7.382638,7.116111,3287.154467,1770.937306,0.936485731,6028.200277,2088.320586,-0.146390583,30.23264231,21.75643694,23.31409621,19.13622523,18.47614168,18.17363503,35.95695536,6.442743371,6.846860644,7.023339192,5.976585758,3.87873475,2.832798996,2.866252287,0.10482449,0.093186646,1.37416507,117.4538352
